"Date","EventId","Source","Level","Summary","Message"
"9/23/2025 4:39:18 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 487 to 488.","The system session has transitioned from 487 to 488.

Reason 55 

BootId: 22"
"9/23/2025 6:39:39 PM","105","Microsoft-Windows-Kernel-Power","Information","Power source change.","Power source change."
"9/23/2025 6:39:39 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/23/2025 6:39:39 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 488 to 489.","The system session has transitioned from 488 to 489.

Reason InputMouse 

BootId: 22"
"9/23/2025 6:39:39 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/23/2025 6:39:50 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 489 to 490.","The system session has transitioned from 489 to 490.

Reason InputMouse 

BootId: 22"
"9/23/2025 6:44:43 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"9/23/2025 6:44:43 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 490 to 491.","The system session has transitioned from 490 to 491.

Reason 16777224 

BootId: 22"
"9/23/2025 6:44:43 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/23/2025 7:22:27 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 491 to 492.","The system session has transitioned from 491 to 492.

Reason InputMouse 

BootId: 22"
"9/24/2025 12:01:58 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"9/24/2025 12:01:58 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 492 to 493.","The system session has transitioned from 492 to 493.

Reason 16777224 

BootId: 22"
